#version,serial,flight,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage
6, 8617, 1,    -0.14, 3,   boost,   20.19,  92952.00,  721.54,   23.18,   27.56, 23.4, 9.47, 9.50, 9.52
6, 8617, 1,    -0.13, 3,   boost,   21.26,  92950.00,  721.72,   23.36,   27.96, 23.4, 9.47, 9.52, 9.52
6, 8617, 1,    -0.12, 3,   boost,   22.36,  92939.00,  722.70,   24.34,   28.36, 23.4, 9.47, 9.52, 9.52
6, 8617, 1,    -0.11, 3,   boost,   23.50,  92931.00,  723.41,   25.06,   28.77, 23.4, 9.46, 9.50, 9.52
6, 8617, 1,    -0.10, 3,   boost,   24.67,  92921.00,  724.31,   25.95,   29.19, 23.4, 9.46, 9.52, 9.52
6, 8617, 1,    -0.09, 3,   boost,   25.88,  92919.00,  724.49,   26.13,   29.61, 23.4, 9.43, 9.52, 9.50
6, 8617, 1,    -0.08, 3,   boost,   27.12,  92913.00,  725.02,   26.66,   30.03, 23.4, 9.46, 9.52, 9.50
6, 8617, 1,    -0.07, 3,   boost,   28.39,  92914.00,  724.93,   26.57,   30.46, 23.4, 9.46, 9.52, 9.52
6, 8617, 1,    -0.06, 3,   boost,   29.69,  92908.00,  725.47,   27.11,   30.90, 23.4, 9.46, 9.52, 9.52
6, 8617, 1,    -0.05, 3,   boost,   31.00,  92898.00,  726.36,   28.00,   31.33, 23.4, 9.47, 9.52, 9.52
6, 8617, 1,    -0.04, 3,   boost,   32.34,  92887.00,  727.34,   28.99,   31.78, 23.4, 9.47, 9.50, 9.52
6, 8617, 1,    -0.03, 3,   boost,   33.68,  92888.00,  727.25,   28.90,   32.23, 23.4, 9.46, 9.50, 9.52
6, 8617, 1,    -0.02, 3,   boost,   35.04,  92880.00,  727.97,   29.61,   32.68, 23.4, 9.47, 9.52, 9.52
6, 8617, 1,    -0.01, 3,   boost,   36.39,  92872.00,  728.68,   30.33,   33.14, 23.4, 9.47, 9.52, 9.52
6, 8617, 1,     0.00, 3,   boost,   37.74,  92866.00,  729.22,   30.86,   33.60, 23.4, 9.47, 9.52, 9.52
6, 8617, 1,     0.00, 3,   boost,   37.74,  92866.00,  729.22,   30.86,   33.60, 23.4, 9.47, 9.52, 9.52
6, 8617, 1,     0.00, 3,   boost,   37.74,  92866.00,  729.22,   30.86,   33.60, 23.4, 9.47, 9.52, 9.52
6, 8617, 1,     0.00, 3,   boost,   37.74,  92866.00,  729.22,   30.86,   33.60, 23.4, 9.47, 9.52, 9.52
6, 8617, 1,     0.00, 3,   boost,   37.74,  92866.00,  729.22,   30.86,   33.60, 23.4, 9.47, 9.52, 9.52
6, 8617, 1,     0.00, 3,   boost,   37.74,  92866.00,  729.22,   30.86,   33.60, 23.4, 9.47, 9.52, 9.52
6, 8617, 1,     0.00, 3,   boost,   37.74,  92866.00,  729.22,   30.86,   33.60, 23.4, 9.47, 9.52, 9.52
6, 8617, 1,     0.00, 3,   boost,   37.74,  92866.00,  729.22,   30.86,   33.60, 23.4, 9.47, 9.52, 9.52
6, 8617, 1,     0.00, 3,   boost,   37.74,  92866.00,  729.22,   30.86,   33.60, 23.4, 9.47, 9.52, 9.52
6, 8617, 1,     0.00, 3,   boost,   37.74,  92866.00,  729.22,   30.86,   33.60, 23.4, 9.47, 9.52, 9.52
6, 8617, 1,     0.00, 3,   boost,   37.74,  92866.00,  729.22,   30.86,   33.60, 23.4, 9.47, 9.52, 9.52
6, 8617, 1,     0.00, 3,   boost,   37.74,  92866.00,  729.22,   30.86,   33.60, 23.4, 9.47, 9.52, 9.52
6, 8617, 1,     0.00, 3,   boost,   37.74,  92866.00,  729.22,   30.86,   33.60, 23.4, 9.47, 9.52, 9.52
6, 8617, 1,     0.00, 3,   boost,   37.74,  92866.00,  729.22,   30.86,   33.60, 23.4, 9.47, 9.52, 9.52
6, 8617, 1,     0.00, 3,   boost,   37.74,  92866.00,  729.22,   30.86,   33.60, 23.4, 9.47, 9.52, 9.52
6, 8617, 1,     0.00, 3,   boost,   37.74,  92866.00,  729.22,   30.86,   33.60, 23.4, 9.47, 9.52, 9.52
6, 8617, 1,     0.00, 3,   boost,   37.74,  92866.00,  729.22,   30.86,   33.60, 23.4, 9.47, 9.52, 9.52
6, 8617, 1,     0.01, 3,   boost,   39.08,  92861.00,  729.67,   31.31,   34.07, 23.4, 9.46, 9.52, 9.50
6, 8617, 1,     0.02, 3,   boost,   40.40,  92849.00,  730.74,   32.38,   34.54, 23.4, 9.44, 9.52, 9.52
6, 8617, 1,     0.03, 3,   boost,   41.70,  92843.00,  731.27,   32.92,   35.02, 23.4, 9.47, 9.52, 9.52
6, 8617, 1,     0.04, 3,   boost,   42.96,  92840.00,  731.54,   33.18,   35.50, 23.4, 9.46, 9.50, 9.53
6, 8617, 1,     0.05, 3,   boost,   44.20,  92831.00,  732.35,   33.99,   35.99, 23.4, 9.47, 9.52, 9.52
6, 8617, 1,     0.06, 3,   boost,   45.38,  92817.00,  733.60,   35.24,   36.48, 23.4, 9.44, 9.50, 9.50
6, 8617, 1,     0.07, 3,   boost,   46.52,  92818.00,  733.51,   35.15,   36.97, 23.4, 9.46, 9.52, 9.49
6, 8617, 1,     0.08, 3,   boost,   47.61,  92816.00,  733.69,   35.33,   37.47, 23.4, 9.46, 9.50, 9.52
6, 8617, 1,     0.09, 3,   boost,   48.64,  92805.00,  734.67,   36.31,   37.98, 23.4, 9.47, 9.52, 9.53
6, 8617, 1,     0.10, 3,   boost,   49.61,  92804.00,  734.76,   36.40,   38.49, 23.4, 9.46, 9.50, 9.53
6, 8617, 1,     0.11, 3,   boost,   50.52,  92798.00,  735.30,   36.94,   39.00, 23.4, 9.46, 9.52, 9.52
6, 8617, 1,     0.12, 3,   boost,   51.36,  92798.00,  735.30,   36.94,   39.52, 23.4, 9.46, 9.50, 9.53
6, 8617, 1,     0.13, 3,   boost,   52.13,  92792.00,  735.83,   37.47,   40.05, 23.4, 9.46, 9.52, 9.50
6, 8617, 1,     0.14, 3,   boost,   52.84,  92773.00,  737.53,   39.17,   40.57, 23.4, 9.46, 9.52, 9.52
6, 8617, 1,     0.15, 3,   boost,   53.48,  92772.00,  737.62,   39.26,   41.11, 23.4, 9.46, 9.50, 9.50
6, 8617, 1,     0.16, 3,   boost,   54.05,  92768.00,  737.98,   39.62,   41.64, 23.4, 9.47, 9.55, 9.53
6, 8617, 1,     0.17, 3,   boost,   54.57,  92753.00,  739.32,   40.96,   42.18, 23.4, 9.46, 9.52, 9.52
